Id,label
f8b03c87-9d1a-4f20-b76b-cb6c69d447b2,common core of data
f8b03c87-9d1a-4f20-b76b-cb6c69d447b2,education longitudinal study
f8b03c87-9d1a-4f20-b76b-cb6c69d447b2,high school and beyond
f8b03c87-9d1a-4f20-b76b-cb6c69d447b2,integrated postsecondary education data system
f8b03c87-9d1a-4f20-b76b-cb6c69d447b2,national assessment of educational progress
f8b03c87-9d1a-4f20-b76b-cb6c69d447b2,national education longitudinal study
f8b03c87-9d1a-4f20-b76b-cb6c69d447b2,national education longitudinal study of 1988
585ba241-6348-41ce-a5d2-c9ee434cd64d,north american breeding bird survey
585ba241-6348-41ce-a5d2-c9ee434cd64d,north american breeding bird survey bbs
bde73ad6-ce46-489b-8ee0-b162698cc6df,noaa c cap
c7ce1ac6-36e4-4258-b2e4-1b525dc82ad5,world ocean database
9d75e205-3030-44c6-ae21-fc25be319189,common core of data
9d75e205-3030-44c6-ae21-fc25be319189,geographic location
9d75e205-3030-44c6-ae21-fc25be319189,national assessment of educational progress
07ff890f-1955-418b-80ae-eb83366e8928,coastal change analysis program
e170845e-54a1-4691-90c1-c822d9a788d6,agricultural resource management survey
c64356c0-cb99-4818-87e2-18647b7f667a,census of agriculture
314d0dab-6cda-4511-b1ce-8ed459e8f803,adni
10cffa0a-3d0b-4049-b913-a1ee697b1d1a,baccalaureate and beyond
10cffa0a-3d0b-4049-b913-a1ee697b1d1a,baccalaureate and beyond longitudinal study
10cffa0a-3d0b-4049-b913-a1ee697b1d1a,program enrollment
10cffa0a-3d0b-4049-b913-a1ee697b1d1a,research reports
421c3942-748d-4718-a3c1-0157902f0182,national assessment of education progress
84d84f0b-949c-46b6-8544-0cc967767efd,agricultural resource management survey
84d84f0b-949c-46b6-8544-0cc967767efd,commodity costs and returns
0de882e3-a7ba-4d31-a52d-42f86d3119f7,clinicaltrials gov
0de882e3-a7ba-4d31-a52d-42f86d3119f7,genome sequences of sars cov 2
207e6966-30ef-45fa-b297-18e8c2c51a20,trends in international mathematics and science study
1360bde6-cbf1-416f-a351-2fc5fa77a548,adni
1360bde6-cbf1-416f-a351-2fc5fa77a548,alzheimer s disease neuroimaging initiative adni
f8c8eb2a-4e31-4661-9fed-6ab4f3280ba4,education longitudinal study
f8c8eb2a-4e31-4661-9fed-6ab4f3280ba4,national education longitudinal study
f8c8eb2a-4e31-4661-9fed-6ab4f3280ba4,national education longitudinal study of 1988
86cef975-b9a2-44c7-a480-cbe918e72159,early childhood longitudinal study
86cef975-b9a2-44c7-a480-cbe918e72159,early childhood longitudinal study birth cohort
b982b285-4f62-439a-817a-7c565fc74c0b,geographic location
b982b285-4f62-439a-817a-7c565fc74c0b,survey of doctorate recipients
a8391e72-8850-4a60-bff0-a2c38b645d73,coastal change analysis program
a8391e72-8850-4a60-bff0-a2c38b645d73,noaa c cap
a8391e72-8850-4a60-bff0-a2c38b645d73,usgs national water quality assessment
1897954a-3631-4ed2-a7fb-3a09d699810a,adni
1897954a-3631-4ed2-a7fb-3a09d699810a,alzheimer s disease neuroimaging initiative adni
e0614647-0606-45bc-9b6b-bcc2fce45b96,census of agriculture
e0614647-0606-45bc-9b6b-bcc2fce45b96,organic production
48fe0fc6-73c4-4169-9241-ddf3be6a3cde,survey of industrial research and development
cb54905d-9607-4bef-b785-67a45e587d42,early childhood longitudinal study
cb54905d-9607-4bef-b785-67a45e587d42,early childhood longitudinal study birth cohort
c3d6fd6a-54ac-4cd2-8855-7c2b04333125,adni
ea2f648b-9772-41f0-be4c-6f4830637fad,adni
ea2f648b-9772-41f0-be4c-6f4830637fad,alzheimer s disease neuroimaging initiative adni
5f79b3a2-d057-4559-aec5-79056a6445bd,beginning postsecondary student
5f79b3a2-d057-4559-aec5-79056a6445bd,beginning postsecondary students
5f79b3a2-d057-4559-aec5-79056a6445bd,beginning postsecondary students longitudinal study
5f79b3a2-d057-4559-aec5-79056a6445bd,bps data
5f79b3a2-d057-4559-aec5-79056a6445bd,integrated postsecondary education data system
5f79b3a2-d057-4559-aec5-79056a6445bd,national postsecondary student aid study
5f79b3a2-d057-4559-aec5-79056a6445bd,postsecondary student aid study
5f79b3a2-d057-4559-aec5-79056a6445bd,postsecondary students longitudinal study
554dff7d-6f6a-44a2-84e6-1b96fdf1d75e,common core of data
cfc03cbc-c65c-490c-a1fa-0e5bed83ef1b,adni
cfc03cbc-c65c-490c-a1fa-0e5bed83ef1b,alzheimer s disease neuroimaging initiative adni
1f63f4f7-639d-4d85-a958-65c6f806b134,census of agriculture
1354a1b7-a73e-4109-a3fb-1a8f54cc8d88,census of agriculture
a84e6c30-fe65-410a-a646-b5ce4afb7c7a,genome sequences of sars cov 2
d11853f2-81f9-48f7-a95c-ef23f8802b9d,early childhood longitudinal study
d11853f2-81f9-48f7-a95c-ef23f8802b9d,early childhood longitudinal study birth cohort
13caaa93-6c35-493e-bdc9-a476c9b49f74,adni
83d63e15-1bb9-48dd-b672-cbc2054a1dbb,early childhood longitudinal study
83d63e15-1bb9-48dd-b672-cbc2054a1dbb,national assessment of educational progress
fc36debb-e249-467c-a53d-89b7d095225d,early childhood longitudinal study
64915d25-fb6f-4123-be20-9f1919950253,adni
8192a192-a684-4a02-9058-98fd8264cc19,baltimore longitudinal study of aging
4ad35b47-a1b5-46e6-8c34-d6e21d6401c8,trends in international mathematics and science study
0a6971f9-5c2d-4bdc-b817-37a6c7dad8d5,national assessment of educational progress
0a6971f9-5c2d-4bdc-b817-37a6c7dad8d5,trends in international mathematics and science study
167f0d62-9912-4279-be98-5fcac4836889,education longitudinal study
167f0d62-9912-4279-be98-5fcac4836889,high school and beyond
167f0d62-9912-4279-be98-5fcac4836889,national education longitudinal study
167f0d62-9912-4279-be98-5fcac4836889,national education longitudinal study of 1988
167f0d62-9912-4279-be98-5fcac4836889,national postsecondary student aid study
167f0d62-9912-4279-be98-5fcac4836889,postsecondary student aid study
167f0d62-9912-4279-be98-5fcac4836889,the national longitudinal study of the high school class of 1972
